tunecache	1.1.0	1.1.0-c3781bc-dirty-sm_80	cpu_arch=x86_64,gpu_arch=sm_80,cuda_version=11.4.152	# Last updated Tue Mar  4 23:59:45 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEENS1_16QDPJITDiracOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=8,order=11,Ns=4,Nc=3vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3,NonRelBasis	640	1	1	389	1	1	0	-1	-1	-1	-1	7.73514e-05	# 0.00 Gflop/s, 1235.29 GB/s, tuning took 0.019014 seconds at Tue Mar  4 23:59:43 2025
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3,PreserveBasis	32	1	1	7776	1	1	0	-1	-1	-1	-1	7.69463e-05	# 0.00 Gflop/s, 1241.79 GB/s, tuning took 0.019619 seconds at Sun Aug 18 11:54:36 2024
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIfLi4ELi3ELi4ELb0ELb0EEENS2_IdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS6_19QudaFieldLocation_sPfPKdEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,PreserveBasis	416	1	1	599	1	1	0	-1	-1	-1	-1	5.70027e-05	# 0.00 Gflop/s, 1257.20 GB/s, tuning took 0.017014 seconds at Sun Aug 18 11:54:36 2024
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIfLi4ELi3ELi4ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPfPKfEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,NonRelBasis	288	1	1	864	1	1	0	-1	-1	-1	-1	3.64983e-05	# 0.00 Gflop/s, 1308.99 GB/s, tuning took 0.014696 seconds at Sun Aug 18 11:54:44 2024
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIfLi4ELi3ELi4ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPfPKfEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,PreserveBasis	96	1	1	2592	1	1	0	-1	-1	-1	-1	3.64251e-05	# 0.00 Gflop/s, 1311.61 GB/s, tuning took 0.014785 seconds at Sun Aug 18 11:47:20 2024
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIfLi4ELi3ELi4ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPfPKfEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3vol=248832,parity=1,precision=4,order=4,Ns=4,Nc=3,RelBasis	128	1	1	1944	1	1	0	-1	-1	-1	-1	3.72297e-05	# 0.00 Gflop/s, 1283.27 GB/s, tuning took 0.015009 seconds at Sun Aug 18 11:54:36 2024
     12x24x24x36	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor16QDPJITDiracOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,cmem,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3vol=248832,parity=1,precision=8,order=11,Ns=4,Nc=3,RelBasis	832	1	1	300	1	1	0	-1	-1	-1	-1	7.66537e-05	# 0.00 Gflop/s, 1246.53 GB/s, tuning took 0.019561 seconds at Sun Aug 18 11:55:27 2024
     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy,GPU-offline,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0001,topo=1112,order=01,p2p=3,gdr=0,nvshmem=0,pol=110000111100110000	32	1	1	1	1	1	0	0	1	0	-1	0.000351232	# 1292.22 Gflop/s, 2040.35 GB/s, tuning took 0.066403 seconds at Sun Aug 18 11:55:07 2024
     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy,GPU-offline,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0001,xpay,topo=1112,order=01,p2p=3,gdr=0,nvshmem=0,pol=110000111100110000	32	1	1	1	1	1	0	1	1	0	-1	0.000378197	# 1231.67 Gflop/s, 1894.87 GB/s, tuning took 0.075122 seconds at Sun Aug 18 11:55:25 2024
     12x24x24x36	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12EEEEE	policy_kernel=exterior_all,GPU-offline,vol=248832,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0001	32	1	1	432	1	1	5564	-1	-1	-1	-1	1.36734e-05	# 691.53 Gflop/s, 1164.69 GB/s, tuning took 0.029691 seconds at Sun Aug 18 11:54:46 2024
